---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:35:23 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 6
capture.afpacket.polls                                       | Total                     | 659
capture.afpacket.poll_timeout                                | Total                     | 653
capture.afpacket.poll_data                                   | Total                     | 6
decoder.pkts                                                 | Total                     | 6
decoder.bytes                                                | Total                     | 755
decoder.ipv6                                                 | Total                     | 6
decoder.ethernet                                             | Total                     | 6
decoder.tcp                                                  | Total                     | 6
decoder.avg_pkt_size                                         | Total                     | 125
decoder.max_pkt_size                                         | Total                     | 167
flow.total                                                   | Total                     | 1
flow.active                                                  | Total                     | 1
flow.tcp                                                     | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9900
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 1
flow.mgr.flows_notimeout                                     | Total                     | 1
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:35:31 (uptime: 0d, 00h 00m 16s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 27
capture.afpacket.polls                                       | Total                     | 1747
capture.afpacket.poll_timeout                                | Total                     | 1725
capture.afpacket.poll_data                                   | Total                     | 22
decoder.pkts                                                 | Total                     | 27
decoder.bytes                                                | Total                     | 4056
decoder.ipv4                                                 | Total                     | 3
decoder.ipv6                                                 | Total                     | 24
decoder.ethernet                                             | Total                     | 27
decoder.tcp                                                  | Total                     | 27
decoder.avg_pkt_size                                         | Total                     | 150
decoder.max_pkt_size                                         | Total                     | 373
flow.total                                                   | Total                     | 2
flow.active                                                  | Total                     | 2
flow.tcp                                                     | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 2
flow.mgr.full_hash_pass                                      | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9800
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 1
flow.mgr.flows_notimeout                                     | Total                     | 1
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:35:39 (uptime: 0d, 00h 00m 24s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 35
capture.afpacket.polls                                       | Total                     | 2469
capture.afpacket.poll_timeout                                | Total                     | 2443
capture.afpacket.poll_data                                   | Total                     | 26
decoder.pkts                                                 | Total                     | 35
decoder.bytes                                                | Total                     | 4834
decoder.ipv4                                                 | Total                     | 3
decoder.ipv6                                                 | Total                     | 32
decoder.ethernet                                             | Total                     | 35
decoder.tcp                                                  | Total                     | 35
tcp.rst                                                      | Total                     | 3
decoder.avg_pkt_size                                         | Total                     | 138
decoder.max_pkt_size                                         | Total                     | 373
flow.total                                                   | Total                     | 3
flow.active                                                  | Total                     | 3
flow.tcp                                                     | Total                     | 3
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 2
flow.mgr.full_hash_pass                                      | Total                     | 2
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9800
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 2
flow.mgr.flows_notimeout                                     | Total                     | 2
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:35:47 (uptime: 0d, 00h 00m 32s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 40
capture.afpacket.polls                                       | Total                     | 3549
capture.afpacket.poll_timeout                                | Total                     | 3520
capture.afpacket.poll_data                                   | Total                     | 29
decoder.pkts                                                 | Total                     | 40
decoder.bytes                                                | Total                     | 5571
decoder.ipv4                                                 | Total                     | 3
decoder.ipv6                                                 | Total                     | 37
decoder.ethernet                                             | Total                     | 40
decoder.tcp                                                  | Total                     | 38
tcp.rst                                                      | Total                     | 3
decoder.icmpv6                                               | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 139
decoder.max_pkt_size                                         | Total                     | 373
flow.total                                                   | Total                     | 4
flow.active                                                  | Total                     | 4
flow.tcp                                                     | Total                     | 3
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 3
detect.alert                                                 | Total                     | 2
flow.mgr.full_hash_pass                                      | Total                     | 3
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9700
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 3
flow.mgr.flows_notimeout                                     | Total                     | 3
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
